120
1	3	62	64	
3	5	64	66	
5	7	66	68	
7	9	68	70	
9	11	70	72	
11	13	72	74	
13	15	74	76	
15	17	76	78	
17	19	78	80	
19	21	80	82	
21	23	82	84	
23	25	84	86	
25	27	86	88	
27	29	88	90	
29	31	90	92	
31	33	92	94	
33	35	94	96	
35	37	96	98	
37	39	98	100	
39	41	100	102	
41	43	102	104	
43	45	104	106	
45	47	106	108	
47	49	108	110	
49	51	110	112	
51	53	112	114	
53	55	114	116	
55	57	116	118	
57	59	118	120	
59	1	120	62	
62	64	123	125	
64	66	125	127	
66	68	127	129	
68	70	129	131	
70	72	131	133	
72	74	133	135	
74	76	135	137	
76	78	137	139	
78	80	139	141	
80	82	141	143	
82	84	143	145	
84	86	145	147	
86	88	147	149	
88	90	149	151	
90	92	151	153	
92	94	153	155	
94	96	155	157	
96	98	157	159	
98	100	159	161	
100	102	161	163	
102	104	163	165	
104	106	165	167	
106	108	167	169	
108	110	169	171	
110	112	171	173	
112	114	173	175	
114	116	175	177	
116	118	177	179	
118	120	179	181	
120	62	181	123	
123	125	184	186	
125	127	186	188	
127	129	188	190	
129	131	190	192	
131	133	192	194	
133	135	194	196	
135	137	196	198	
137	139	198	200	
139	141	200	202	
141	143	202	204	
143	145	204	206	
145	147	206	208	
147	149	208	210	
149	151	210	212	
151	153	212	214	
153	155	214	216	
155	157	216	218	
157	159	218	220	
159	161	220	222	
161	163	222	224	
163	165	224	226	
165	167	226	228	
167	169	228	230	
169	171	230	232	
171	173	232	234	
173	175	234	236	
175	177	236	238	
177	179	238	240	
179	181	240	242	
181	123	242	184	
184	186	245	247	
186	188	247	249	
188	190	249	251	
190	192	251	253	
192	194	253	255	
194	196	255	257	
196	198	257	259	
198	200	259	261	
200	202	261	263	
202	204	263	265	
204	206	265	267	
206	208	267	269	
208	210	269	271	
210	212	271	273	
212	214	273	275	
214	216	275	277	
216	218	277	279	
218	220	279	281	
220	222	281	283	
222	224	283	285	
224	226	285	287	
226	228	287	289	
228	230	289	291	
230	232	291	293	
232	234	293	295	
234	236	295	297	
236	238	297	299	
238	240	299	301	
240	242	301	303	
242	184	303	245	
